Mês,2015,2016,2017,2018,2019,2020,2021
Janeiro,203369,214687,129767,124567,146031,577038,21278.0
Fevereiro,178315,92896,86532,98258,268168,577038,23832.0
Março,220715,94011,113437,132994,241773,577038,6650.0
Abril,181068,107021,120019,148827,210205,0,
Maio,156890,228036,101941,122553,144752,0,
Junho,127700,233203,103998,85570,180335,0,
Julho,276445,213977,157692,124498,223144,0,
Agosto,224578,313204,100551,97755,160772,0,
Setembro,159358,184733,91777,101499,178981,2544,
Outubro,203244,223497,107416,117694,298036,5892,
Novembro,199700,166160,125877,132001,339258,7770,
Dezembro,157641,145455,98560,102449,215544,11282,
